name,mid_lat,mid_lng,crime_rate_normalised,lighting_score,crime_source
Abbey Lane,55.956571,-3.167238,0.45,0.7,neighbourhood
Abbey Mount,55.955448,-3.172396,0.45,0.8,neighbourhood
Abbey Street,55.956685,-3.1692,0.45,0.7,neighbourhood
Abbeyhill,55.954751,-3.172221,0.45,0.6782,neighbourhood
Abbeyhill Crescent,55.953736,-3.174789,0.45,0.7,neighbourhood
Abbotsford Crescent,55.931876,-3.21271,0.15,0.7,neighbourhood
Abbotsford Park,55.932287,-3.211357,0.15,0.7,neighbourhood
Abercorn Avenue,55.95181,-3.145286,0.45,0.7,neighbourhood
Abercorn Crescent,55.951517,-3.146097,0.45,0.7,neighbourhood
Abercorn Drive,55.951018,-3.146175,0.45,0.7,neighbourhood
Abercorn Gardens,55.955471,-3.140168,0.45,0.55,neighbourhood
Abercorn Grove,55.951985,-3.147628,0.45,0.7,neighbourhood
Abercorn Road,55.95336,-3.150163,0.45,0.7,neighbourhood
Abercromby Place,55.956513,-3.196073,0.3,0.7,neighbourhood
Academy Court,55.953271,-3.147538,0.45,0.7,neighbourhood
Academy Park,55.968011,-3.167721,0.6,0.7,neighbourhood
Admiral Terrace,55.938218,-3.208323,0.2,0.7,neighbourhood
Advocate's Close,55.950272,-3.191438,0.75,0.45,neighbourhood
Ainslie Place,55.953282,-3.210201,0.12,0.7249,neighbourhood
Aird's Close,55.947632,-3.194192,0.7,0.5,neighbourhood
Albany Lane,55.957637,-3.191006,0.3,0.7,neighbourhood
Albany Street,55.957238,-3.191112,0.3,0.7,neighbourhood
Albany Street Lane,55.957793,-3.190664,0.3,0.55,neighbourhood
Albert Street,55.962503,-3.175034,0.45,0.7,neighbourhood
Albert Terrace,55.931262,-3.212802,0.15,0.7,neighbourhood
Albion Gardens,55.960505,-3.166174,0.45,0.7,neighbourhood
Albion Place,55.962188,-3.166617,0.45,0.6,neighbourhood
Albion Road,55.961355,-3.167378,0.45,0.66,neighbourhood
Alemoor Crescent,55.964631,-3.15675,0.6,0.7,neighbourhood
Alemoor Park,55.965168,-3.157644,0.6,0.7,neighbourhood
Alfred Place,55.935495,-3.171563,0.2,0.7,neighbourhood
Allan Street,55.959027,-3.213514,0.12,0.7,neighbourhood
Allanfield,55.960942,-3.176574,0.45,0.638,neighbourhood
Allanfield Place,55.961055,-3.174057,0.45,0.7,neighbourhood
Alva Street,55.950294,-3.210534,0.68,0.6,neighbourhood
Anchor Close,55.950305,-3.189439,0.75,0.4551,neighbourhood
Anderson's Close,55.948281,-3.193749,0.7,0.5,neighbourhood
Angle Park Terrace,55.938113,-3.224845,0.15,0.8,neighbourhood
Ann Terrace,55.954985,-3.162587,0.45,0.35,neighbourhood
Annandale Street,55.961178,-3.185954,0.45,0.7,neighbourhood
Annandale Street Lane,55.960815,-3.182656,0.45,0.55,neighbourhood
Arboretum Avenue,55.961235,-3.211577,0.12,0.7,neighbourhood
Arboretum Place,55.963879,-3.213026,0.12,0.6547,neighbourhood
Arboretum Road,55.967689,-3.214945,0.12,0.7,neighbourhood
Archers Walk,55.941416,-3.187698,0.25,0.5,neighbourhood
Archibald Place,55.944435,-3.196003,0.35,0.55,neighbourhood
Arden Street,55.937329,-3.196142,0.2,0.7,neighbourhood
Ardmillan Mews,55.938485,-3.227417,0.15,0.55,neighbourhood
Ardmillan Place,55.938611,-3.225081,0.15,0.7,neighbourhood
Ardmillan Terrace,55.93823,-3.226396,0.15,0.9,neighbourhood
Ardmillan Terrace Lane,55.938284,-3.227202,0.15,0.55,neighbourhood
Argyle Park Terrace,55.939665,-3.192145,0.25,0.6576,neighbourhood
Argyle Place,55.939146,-3.191495,0.25,0.7,neighbourhood
Arthur Street,55.965263,-3.17755,0.45,0.7,neighbourhood
Arthur Street Lane,55.965132,-3.178843,0.45,0.7,neighbourhood
Ascham Court,55.941852,-3.185206,0.25,0.6158,neighbourhood
Ashfield Grange,55.930531,-3.190198,0.15,0.55,neighbourhood
Ashley Drive,55.931285,-3.227156,0.15,0.7,neighbourhood
Ashley Grove,55.931474,-3.22801,0.15,0.7,neighbourhood
Ashley Place,55.969754,-3.18501,0.6,0.7,neighbourhood
Ashley Terrace,55.932055,-3.227623,0.15,0.8,neighbourhood
Atholl Crescent Lane,55.947548,-3.211744,0.68,0.7,neighbourhood
Avenue Villas,55.959271,-3.227118,0.1,0.7,neighbourhood
Avondale Place,55.961725,-3.20775,0.12,0.6538,neighbourhood
Back Dean,55.952955,-3.224982,0.1,0.7,neighbourhood
